date,station_code,item_code,category,item_name,quantity,unit,minimum_required,daily_usage,days_remaining,resupply_event,resupply_quantity,inventory_status,data_source
2016-01-01,MAITRI,FOOD-M01,FOOD,Food Supplies,1840.0,kg,1200,2.5,736.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-01,MAITRI,MED-M01,MEDICAL,Medical Supplies,420.0,units,300,0.15,2800.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-01,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,185.0,units,150,0.2,925.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-01,MAITRI,BAT-M01,SPARES,Battery Components,97.2,units,100,0.5,194.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-02,MAITRI,FOOD-M01,FOOD,Food Supplies,1837.5,kg,1200,2.5,735.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-02,MAITRI,MED-M01,MEDICAL,Medical Supplies,419.85,units,300,0.15,2799.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-02,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,184.8,units,150,0.2,924.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-02,MAITRI,BAT-M01,SPARES,Battery Components,96.7,units,100,0.5,193.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-03,MAITRI,FOOD-M01,FOOD,Food Supplies,1835.0,kg,1200,2.5,734.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-03,MAITRI,MED-M01,MEDICAL,Medical Supplies,419.7,units,300,0.15,2798.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-03,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,184.6,units,150,0.2,922.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-03,MAITRI,BAT-M01,SPARES,Battery Components,96.2,units,100,0.5,192.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-04,MAITRI,FOOD-M01,FOOD,Food Supplies,1832.5,kg,1200,2.5,733.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-04,MAITRI,MED-M01,MEDICAL,Medical Supplies,419.55,units,300,0.15,2797.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-04,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,184.4,units,150,0.2,922.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-04,MAITRI,BAT-M01,SPARES,Battery Components,95.7,units,100,0.5,191.4,True,25.2,LOW,SIMULATED_OPERATIONAL
