obstime,station_code,tempr,ap,ws,wd,rh
2026-01-01 00:00:00,BHARATI,1.7,980.0,10.1,76.0,49.5
2026-01-01 00:01:00,BHARATI,1.6,980.0,8.8,72.0,48.9
2026-01-01 00:02:00,BHARATI,1.6,980.0,8.8,69.0,49.3
2026-01-01 00:03:00,BHARATI,1.6,980.0,8.2,72.0,49.9
2026-01-01 00:04:00,BHARATI,1.7,980.0,9.0,63.0,49.9
2026-01-01 00:05:00,BHARATI,1.8,980.0,10.4,70.0,49.4
2026-01-01 00:06:00,BHARATI,1.9,979.9,10.9,76.0,48.3
2026-01-01 00:07:00,BHARATI,1.7,979.9,9.6,71.0,47.7
2026-01-01 00:08:00,BHARATI,1.7,980.0,7.7,66.0,48.4
2026-01-01 00:09:00,BHARATI,1.7,980.0,8.3,72.0,49.2
2026-01-01 00:10:00,BHARATI,1.7,980.0,9.3,71.0,49.0
2026-01-01 00:11:00,BHARATI,1.6,980.0,8.2,73.0,48.8
2026-01-01 00:12:00,BHARATI,1.6,980.0,8.7,68.0,49.3
2026-01-01 00:13:00,BHARATI,1.6,980.0,8.4,71.0,49.3
2026-01-01 00:14:00,BHARATI,1.7,980.0,9.5,69.0,48.7
2026-01-01 00:15:00,BHARATI,1.7,980.0,9.8,68.0,48.1
2026-01-01 00:16:00,BHARATI,1.8,980.0,9.8,68.0,47.9
2026-01-01 00:17:00,BHARATI,1.7,980.0,9.1,71.0,48.6
2026-01-01 00:18:00,BHARATI,1.7,980.0,8.8,68.0,49.2
2026-01-01 00:19:00,BHARATI,1.7,980.0,8.1,67.0,50.4
2026-01-01 00:20:00,BHARATI,1.7,980.0,8.3,74.0,50.5
2026-01-01 00:21:00,BHARATI,1.8,980.1,7.6,78.0,49.7
2026-01-01 00:22:00,BHARATI,1.9,980.1,7.2,81.0,48.1
2026-01-01 00:23:00,BHARATI,2.0,980.1,8.9,71.0,47.5
2026-01-01 00:24:00,BHARATI,2.1,980.0,9.7,79.0,46.0
2026-01-01 00:25:00,BHARATI,2.3,980.0,10.5,82.0,44.7
2026-01-01 00:26:00,BHARATI,2.3,980.0,10.8,92.0,44.6
2026-01-01 00:27:00,BHARATI,2.3,980.0,11.3,84.0,45.1
2026-01-01 00:28:00,BHARATI,2.3,980.0,12.1,90.0,44.2
2026-01-01 00:29:00,BHARATI,2.2,980.0,11.8,87.0,43.7
2026-01-01 00:30:00,BHARATI,2.3,980.0,11.1,91.0,43.2
2026-01-01 00:31:00,BHARATI,2.2,980.0,10.6,91.0,44.5
2026-01-01 00:32:00,BHARATI,2.2,980.1,9.7,90.0,45.7
2026-01-01 00:33:00,BHARATI,2.1,980.0,10.8,87.0,45.5
2026-01-01 00:34:00,BHARATI,2.2,980.1,10.8,87.0,45.1
2026-01-01 00:35:00,BHARATI,2.1,980.1,7.8,81.0,45.5
2026-01-01 00:36:00,BHARATI,2.3,980.1,8.9,79.0,45.4
2026-01-01 00:37:00,BHARATI,2.2,980.1,9.2,76.0,45.4
2026-01-01 00:38:00,BHARATI,2.3,980.1,8.8,80.0,44.7
2026-01-01 00:39:00,BHARATI,2.2,980.1,9.1,77.0,45.7
2026-01-01 00:40:00,BHARATI,2.3,980.1,8.4,68.0,45.7
2026-01-01 00:41:00,BHARATI,2.4,980.1,8.1,71.0,46.1
2026-01-01 00:42:00,BHARATI,2.4,980.1,9.1,78.0,45.3
2026-01-01 00:43:00,BHARATI,2.4,980.2,9.0,74.0,45.0
2026-01-01 00:44:00,BHARATI,2.4,980.1,10.0,74.0,44.7
2026-01-01 00:45:00,BHARATI,2.6,980.1,10.8,77.0,43.7
2026-01-01 00:46:00,BHARATI,2.4,980.1,8.4,74.0,43.3
2026-01-01 00:47:00,BHARATI,2.4,980.1,9.9,78.0,44.4
2026-01-01 00:48:00,BHARATI,2.4,980.1,10.2,77.0,43.9
2026-01-01 00:49:00,BHARATI,2.3,980.1,9.5,75.0,43.6
2026-01-01 00:50:00,BHARATI,2.4,980.1,8.6,70.0,44.1
2026-01-01 00:51:00,BHARATI,2.4,980.1,7.6,72.0,44.9
2026-01-01 00:52:00,BHARATI,2.5,980.2,6.7,60.0,45.7
2026-01-01 00:53:00,BHARATI,2.6,980.2,6.7,64.0,46.8
2026-01-01 00:54:00,BHARATI,2.6,980.1,7.6,70.0,46.2
2026-01-01 00:55:00,BHARATI,2.7,980.2,8.2,75.0,44.6
2026-01-01 00:56:00,BHARATI,2.7,980.2,8.0,74.0,43.1
2026-01-01 00:57:00,BHARATI,2.7,980.2,7.8,73.0,42.7
2026-01-01 00:58:00,BHARATI,2.7,980.2,7.7,75.0,44.3
2026-01-01 00:59:00,BHARATI,2.6,980.2,6.5,64.0,45.3
2026-01-01 01:00:00,BHARATI,2.8,980.2,7.3,72.0,44.6
2026-01-01 01:01:00,BHARATI,2.7,980.2,7.9,71.0,43.1
2026-01-01 01:02:00,BHARATI,2.5,980.2,7.6,69.0,43.5
2026-01-01 01:03:00,BHARATI,2.5,980.2,6.5,47.0,44.9
2026-01-01 01:04:00,BHARATI,2.6,980.1,5.3,23.0,48.4
2026-01-01 01:05:00,BHARATI,2.4,980.1,4.8,43.0,49.7
2026-01-01 01:06:00,BHARATI,2.4,980.1,8.1,73.0,48.9
2026-01-01 01:07:00,BHARATI,2.5,980.1,7.3,75.0,45.3
2026-01-01 01:08:00,BHARATI,2.7,980.1,8.1,79.0,44.7
2026-01-01 01:09:00,BHARATI,2.6,980.1,8.7,77.0,44.2
2026-01-01 01:10:00,BHARATI,2.6,980.1,9.0,72.0,42.8
2026-01-01 01:11:00,BHARATI,2.7,980.0,10.2,74.0,42.2
2026-01-01 01:12:00,BHARATI,2.8,980.0,10.7,80.0,41.4
2026-01-01 01:13:00,BHARATI,2.9,980.0,11.2,76.0,41.1
2026-01-01 01:14:00,BHARATI,2.7,980.1,10.1,77.0,41.4
2026-01-01 01:15:00,BHARATI,2.7,980.0,10.5,78.0,41.9
2026-01-01 01:16:00,BHARATI,2.5,980.1,9.3,78.0,42.5
2026-01-01 01:17:00,BHARATI,2.7,980.1,9.6,77.0,42.6
2026-01-01 01:18:00,BHARATI,2.6,980.1,9.6,72.0,42.9
2026-01-01 01:19:00,BHARATI,2.5,980.1,11.6,73.0,43.2
2026-01-01 01:20:00,BHARATI,2.6,980.1,10.7,73.0,43.2
2026-01-01 01:21:00,BHARATI,2.7,980.1,10.4,73.0,43.1
2026-01-01 01:22:00,BHARATI,2.8,980.1,11.3,82.0,42.7
2026-01-01 01:23:00,BHARATI,2.8,980.0,12.0,77.0,42.3
2026-01-01 01:24:00,BHARATI,2.8,980.0,12.8,77.0,42.0
2026-01-01 01:25:00,BHARATI,2.7,980.0,14.3,77.0,41.8
2026-01-01 01:26:00,BHARATI,2.7,980.0,13.6,76.0,41.6
2026-01-01 01:27:00,BHARATI,2.7,980.0,13.0,69.0,41.4
2026-01-01 01:28:00,BHARATI,2.7,980.0,14.4,77.0,41.7
2026-01-01 01:29:00,BHARATI,2.7,980.0,13.1,73.0,41.4
2026-01-01 01:30:00,BHARATI,2.7,980.0,13.2,72.0,41.9
2026-01-01 01:31:00,BHARATI,2.7,980.0,13.6,77.0,41.5
2026-01-01 01:32:00,BHARATI,2.7,980.0,13.6,72.0,41.3
2026-01-01 01:33:00,BHARATI,2.7,980.0,12.6,74.0,41.8
2026-01-01 01:34:00,BHARATI,2.7,980.0,13.9,77.0,42.5
2026-01-01 01:35:00,BHARATI,2.7,979.9,16.3,73.0,41.9
2026-01-01 01:36:00,BHARATI,2.7,979.9,16.7,75.0,41.4
2026-01-01 01:37:00,BHARATI,2.6,979.9,14.7,75.0,41.9
2026-01-01 01:38:00,BHARATI,2.7,979.9,13.7,77.0,41.1
2026-01-01 01:39:00,BHARATI,2.8,979.9,17.0,75.0,41.1
2026-01-01 01:40:00,BHARATI,2.7,980.0,16.5,75.0,40.3
2026-01-01 01:41:00,BHARATI,2.7,979.9,18.5,74.0,39.1
2026-01-01 01:42:00,BHARATI,2.6,979.9,16.3,71.0,40.3
2026-01-01 01:43:00,BHARATI,2.6,980.0,14.5,75.0,41.6
2026-01-01 01:44:00,BHARATI,2.6,980.0,16.0,72.0,40.3
2026-01-01 01:45:00,BHARATI,2.7,980.0,12.8,75.0,41.3
2026-01-01 01:46:00,BHARATI,2.6,980.0,14.0,68.0,42.1
2026-01-01 01:47:00,BHARATI,2.7,979.9,15.9,71.0,40.6
2026-01-01 01:48:00,BHARATI,2.8,979.9,15.6,71.0,39.3
