obstime,station_code,tempr,ap,ws,wd,rh
2016-01-01 00:00:00,MAITRI,-0.8,966.9,62.6,298.0,57.0
2016-01-01 01:00:00,MAITRI,-0.6,967.6,61.8,298.0,50.0
2016-01-01 02:00:00,MAITRI,-0.9,968.4,61.3,298.0,57.0
2016-01-01 03:00:00,MAITRI,-0.4,968.9,61.9,298.0,51.0
2016-01-01 04:00:00,MAITRI,-1.2,969.5,61.4,298.0,54.0
2016-01-01 05:00:00,MAITRI,-0.2,970.0,62.6,298.0,50.0
2016-01-01 06:00:00,MAITRI,-0.7,970.8,61.9,298.0,56.0
2016-01-01 07:00:00,MAITRI,0.1,971.5,54.3,299.0,55.0
2016-01-01 08:00:00,MAITRI,0.6,972.1,61.3,300.0,53.0
2016-01-01 09:00:00,MAITRI,1.4,972.6,61.9,300.0,54.0
2016-01-01 10:00:00,MAITRI,2.3,973.2,60.8,300.0,53.0
2016-01-01 11:00:00,MAITRI,3.5,973.6,65.9,298.0,47.0
2016-01-01 12:00:00,MAITRI,2.6,974.1,62.6,299.0,52.0
2016-01-01 13:00:00,MAITRI,2.6,974.4,61.9,299.0,53.0
2016-01-01 14:00:00,MAITRI,3.0,974.6,56.5,297.0,52.0
2016-01-01 15:00:00,MAITRI,2.7,974.6,63.2,298.0,51.0
2016-01-01 16:00:00,MAITRI,2.1,974.8,62.6,298.0,55.0
2016-01-01 17:00:00,MAITRI,1.6,974.8,62.6,298.0,55.0
2016-01-01 18:00:00,MAITRI,1.0,974.8,62.6,298.0,57.0
2016-01-01 19:00:00,MAITRI,1.0,975.1,62.6,298.0,58.0
2016-01-01 20:00:00,MAITRI,0.5,975.7,63.3,298.0,62.0
2016-01-01 21:00:00,MAITRI,-0.3,975.9,62.5,298.0,62.0
2016-01-01 22:00:00,MAITRI,-1.1,976.0,63.0,298.0,64.0
2016-01-01 23:00:00,MAITRI,-1.5,976.1,60.8,299.0,63.0
2016-01-02 00:00:00,MAITRI,-1.8,976.2,65.5,299.0,62.0
2016-01-02 01:00:00,MAITRI,-2.1,976.5,62.6,300.0,57.0
2016-01-02 02:00:00,MAITRI,-2.0,976.8,60.4,297.0,55.0
2016-01-02 03:00:00,MAITRI,-2.2,976.5,63.9,296.0,58.0
2016-01-02 04:00:00,MAITRI,-1.9,976.5,62.5,299.0,55.0
2016-01-02 05:00:00,MAITRI,-1.6,976.6,62.6,299.0,54.0
2016-01-02 06:00:00,MAITRI,-0.8,976.4,63.2,299.0,53.0
2016-01-02 07:00:00,MAITRI,0.0,976.3,42.7,310.0,51.0
